TIPO,OBSERVACION
Semi-restringido(previo permiso),Se debe pedir permiso al presidente de la comunidad o secretario comunicarse al siguiente numero: 961551855 - 980151245
NA,NA
Semi-restringido(previo permiso),Previa coordination con la comunidad
NA,NA
NA,NA
NA,NA
Libre,
Libre,
Libre,
NA,NA
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Tarifa única S/ 2.00
Libre,
Libre,
NA,NA
NA,NA
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Las comunidades campesinas realizan cobros por cada campamento de entre S/.10.00 y S/.30.00 nuevos soles por turista extranjero.
Libre,
NA,NA
NA,NA
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Parque Nacional Huascarán (El costo de ingreso para visitantes extranjeros es de S/. 30.00, para nacionales S/. 12.00 y para locales S/. 5.00)."
Libre,
NA,NA
"Libre#Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",#Entrada Adulto S/ 5.00 y estudiante S/ 3.00
Libre,
Semi-restringido(previo permiso),Previa coordinación con el propietario al celular: 959610435 (Carlos Puertas)
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
"Libre#Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Cuando se usa los servicios como restaurante#Costo único del boleto S/ 3.00
Libre,
Libre,
Libre,
Libre,
NA,NA
Libre,Recomendable la visita con el orientador local.
NA,NA
Semi-restringido(previo permiso),Previa coordinación con la comunidad de Ichucullo
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Tarifas establecidas por el SERNANP para un día S/. 30.00 extranjeros, S/. 12.00 nacionales; y para dos a tres dias: S/. 60.00 extranjeros y S/. 30.00 nacionales"
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Ingreso General S/. 10.00 Servicio de guiado nacional y extranjero por pax es de S/. 50.00 Servicio de guiado locales por 5 pax total S/. 100
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Ingreso General S/. 10.00 Servicio de guiado nacional y extranjero por pax es de S/. 50.00 Servicio de guiado locales por 5 pax total S/. 100
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos S/. 3.00 Estudiantes universitarios y no universitarios S/. 2.00 Escolares S/.1.00
Libre,
Libre#Otros (especificar),Todo el día#Se recomiemda contactar con la Asociación de Turismo Rural Comunitario Cuyaqui Wayi
Semi-restringido(previo permiso),Costo de ingreso: adulto S/ 3 - niño(a): S/ 1
Libre,
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Parque Nacional Huascarán (El costo de ingreso para visitantes extranjeros es de S/. 30.00, para nacionales S/. 12.00 y para locales S/. 5.00)."
Libre,"Contactar con el Sr. Eliseo Nuñez Bautista, Cel 998041812"
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Entrada general para el recorrido en fábrica: S/7.00 Estudiantes: S/5.00 Ingreso libre a tienda
Libre,
Semi-restringido(previo permiso),Previa coordinación con la Parroquia - 944109837
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Tarifa general S/ 2.00
Libre,Previa coordinación con el presidente de la asociación
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Ingreso adultos: S/15.00 niños y adulto mayor: S/8.00
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Tarifa nacional o extranjero S/. 5.00 soles, Visitante local S/. 3.00"
Libre,Recomendable con un orientador local. Comunicarse con la Oficina de Información Turística Tel: 972550691
Libre,
Semi-restringido(previo permiso),Coordinar con el Alcalde del Centro Poblado de Challapampa Sr. Wilfredo Mayta Velasquez - telefono celular 931893836
Libre,"Los putucos son visibles desde la carretera, se debe pedir permiso al propietario para la visita turística."
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
Libre,
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Entrada general: S/ 10.00 Entrada para observadores de aves: S/ 20.00.
Libre,
Semi-restringido(previo permiso),Coordinar con los pobladores de la comunidad. Asociación Encanto de la fauna silvestre de las cataratas de alto shambillo
NA,NA
NA,NA
NA,NA
NA,NA
Libre,
NA,NA
NA,NA
NA,NA
Semi-restringido(previo permiso),Previa coordinación con el párroco o con el guardián
NA,NA
Libre,Todos los días desde las 9am hasta las 4pm.
Libre,
Libre,
Libre,
Libre,Previa coordinación con el Centro Poblado de Lamparaquen Marno
NA,NA
NA,NA
NA,NA
Libre,
Libre,
Libre,
Libre,
NA,NA
NA,NA
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Pago de S/.65.00 nuevos soles al PNH para 30 días de permanencia. Extranjero S/. 30.00 Nacional S/.15.00 Local S/. 5.00
Semi-restringido(previo permiso),Ingreso autorizado por SERNANP. Ing. Carolina Guevara 968218439
NA,NA
Libre,
Libre,
NA,NA
Libre,
Semi-restringido(previo permiso),Previa coordinación con Leydi Ugalde Solórzano (943 924 409)
Libre,
Libre,
Libre,
Semi-restringido(previo permiso),Previa coordinación con el párroco Pbro Elisban Cayulla - tlf. 051 799239
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Niños S/5.50 (03-11 años) Adultos S/10.00 (12 años a más) Adulto mayor S/5.50 (60 años a más) Contactarse con la Asociación Circuito Ecoturístico Lomas de Lúcumo al +51 997 944 148
Semi-restringido(previo permiso),Permiso del Parque Nacional Alto Purus
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Tarifa adulto S/ 2.00 soles Tarifa Niños S/ 1.00 sol
